Total Sales,Product Name,Product ID,Segment,Customer Name,Customer ID,Region,Period
40.99,Xerox 1893,OFF-PA-10001033,Consumer,Sandra Flanagan,SF-20065,East,2018-11-01 - 2018-11-30
189.7,Xerox 1939,OFF-PA-10004243,Consumer,Sandra Flanagan,SF-20065,East,2018-11-01 - 2018-11-30
25.12,GBC Standard Plastic Binding Systems' Combs,OFF-BI-10001308,Consumer,Sarah Foster,SF-20200,West,2018-11-01 - 2018-11-30
2665.62,Hon 94000 Series Round Tables,FUR-TA-10003954,Consumer,Sarah Foster,SF-20200,West,2018-11-01 - 2018-11-30
5.56,Newell 318,OFF-AR-10000246,Consumer,Barry Gonzalez,BG-11035,South,2018-11-01 - 2018-11-30
168.1,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,OFF-AP-10003040,Consumer,Cindy Stewart,CS-12505,West,2018-11-01 - 2018-11-30
19.44,Xerox 220,OFF-PA-10001800,Consumer,Joy Bell-,JB-16000,West,2018-11-01 - 2018-11-30
11.76,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",OFF-PA-10001838,Consumer,Nora Paige,NP-18670,Central,2018-11-01 - 2018-11-30
83.9,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,OFF-AP-10001962,Consumer,Nora Paige,NP-18670,Central,2018-11-01 - 2018-11-30
384.592,Premier Automatic Letter Opener,OFF-SU-10000646,Corporate,Anthony Rawles,AR-10825,East,2018-11-01 - 2018-11-30
54.336,Stanley Bostitch Contemporary Electric Pencil Sharpeners,OFF-AR-10001958,Corporate,Greg Guthrie,GG-14650,Central,2018-11-01 - 2018-11-30
27.78,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",OFF-AR-10004685,Corporate,Kalyca Meade,KM-16225,Central,2018-11-01 - 2018-11-30
18.24,Staples,OFF-FA-10003495,Corporate,Kalyca Meade,KM-16225,Central,2018-11-01 - 2018-11-30
23.85,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",OFF-PA-10000791,Corporate,Ken Heidel,KH-16630,West,2018-11-01 - 2018-11-30
20.136,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,OFF-AP-10001962,Corporate,Thea Hudgings,TH-21115,East,2018-11-01 - 2018-11-30
8.856,Colored Envelopes,OFF-EN-10003845,Corporate,Thea Hudgings,TH-21115,East,2018-11-01 - 2018-11-30
3.312,Eldon Image Series Black Desk Accessories,FUR-FU-10001847,Corporate,Thea Hudgings,TH-21115,East,2018-11-01 - 2018-11-30
859.2,Wilson Electronics DB Pro Signal Booster,TEC-PH-10001817,Corporate,Thea Hudgings,TH-21115,East,2018-11-01 - 2018-11-30
