Total Sales,Segment,Customer Name,Customer ID,Period
238.684,Consumer,Chuck Sachs,CS-12460,2018-12-03 - 2018-12-17
10.368,Consumer,Clay Cheatham,CC-12550,2018-12-03 - 2018-12-17
306.36,Consumer,Lena Cacioppo,LC-16870,2018-12-03 - 2018-12-17
13.592,Consumer,Mark Van Huff,MV-17485,2018-12-03 - 2018-12-17
98.446,Consumer,Matt Collins,MC-17575,2018-12-03 - 2018-12-17
47.992,Consumer,Natalie DeCherney,ND-18370,2018-12-03 - 2018-12-17
166.44,Consumer,Toby Carlisle,TC-21295,2018-12-03 - 2018-12-17
521.96,Home Office,Corinna Mitchell,CM-12655,2018-12-03 - 2018-12-17
5.346,Consumer,Charles McCrossin,CM-12160,2018-12-03 - 2018-12-17
61.568,Consumer,Christy Brittain,CB-12415,2018-12-03 - 2018-12-17
498.15,Consumer,Doug O'Connell,DO-13645,2018-12-03 - 2018-12-17
74.352,Consumer,Larry Tron,LT-16765,2018-12-03 - 2018-12-17
649.0,Consumer,Lena Radford,LR-16915,2018-12-03 - 2018-12-17
551.55,Consumer,Theone Pippenger,TP-21130,2018-12-03 - 2018-12-17
11.76,Corporate,Chris Selesnick,CS-12250,2018-12-03 - 2018-12-17
1062.363,Corporate,Darrin Van Huff,DV-13045,2018-12-03 - 2018-12-17
11.352,Corporate,Katrina Edelman,KE-16420,2018-12-03 - 2018-12-17
588.008,Corporate,Michael Stewart,MS-17980,2018-12-03 - 2018-12-17
39.792,Consumer,Alan Barnes,AB-10165,2018-12-03 - 2018-12-17
32.67,Consumer,Bart Folk,BF-11080,2018-12-03 - 2018-12-17
51.41,Consumer,Carlos Soltero,CS-11950,2018-12-03 - 2018-12-17
92.94,Consumer,Naresj Patel,NP-18325,2018-12-03 - 2018-12-17
199.73000000000002,Consumer,Rob Beeghly,RB-19570,2018-12-03 - 2018-12-17
334.52,Corporate,Suzanne McNair,SM-20950,2018-12-03 - 2018-12-17
497.044,Home Office,Patrick Bzostek,PB-18805,2018-12-03 - 2018-12-17
10.68,Corporate,Brad Norvell,BN-11470,2018-12-03 - 2018-12-17
372.64,Consumer,Brosina Hoffman,BH-11710,2018-12-03 - 2018-12-17
82.38,Consumer,Debra Catini,DC-13285,2018-12-03 - 2018-12-17
374.376,Consumer,Frank Preis,FP-14320,2018-12-03 - 2018-12-17
127.984,Consumer,Shahid Hopkins,SH-20395,2018-12-03 - 2018-12-17
19.104,Corporate,David Smith,DS-13180,2018-12-03 - 2018-12-17
1889.99,Corporate,Henry Goldwyn,HG-14965,2018-12-03 - 2018-12-17
50.04,Home Office,Tracy Collins,TC-21535,2018-12-03 - 2018-12-17
433.78000000000003,Consumer,Delfina Latchford,DL-13315,2018-12-03 - 2018-12-17
215.544,Consumer,Emily Grady,EG-13900,2018-12-03 - 2018-12-17
