Total Sales,Product Name,Product ID,Segment,Customer Name,Customer ID,Period
95.84,Jackery Bar Premium Fast-charging Portable Charger,TEC-PH-10003215,Consumer,Alex Grayson,AG-10330,2018-12-10 - 2018-12-17
12.96,Xerox 225,OFF-PA-10002005,Consumer,Alex Grayson,AG-10330,2018-12-10 - 2018-12-17
310.88,Electrix Halogen Magnifier Lamp,FUR-FU-10004306,Consumer,Anthony Witt,AW-10840,2018-12-10 - 2018-12-17
10.37,Xerox 210,OFF-PA-10000788,Consumer,Anthony Witt,AW-10840,2018-12-10 - 2018-12-17
19.1,Staple-based wall hangings,FUR-FU-10001940,Consumer,Brian Thompson,BT-11680,2018-12-10 - 2018-12-17
10.86,Convenience Packs of Business Envelopes,OFF-EN-10004030,Consumer,Chris Cortes,CC-12220,2018-12-10 - 2018-12-17
426.79,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,OFF-AP-10000026,Consumer,Chris Cortes,CC-12220,2018-12-10 - 2018-12-17
14.2,Memorex Froggy Flash Drive 8 GB,TEC-AC-10003116,Consumer,Helen Andreada,HA-14920,2018-12-10 - 2018-12-17
1669.6,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,FUR-TA-10004256,Consumer,Michael Chen,MC-17845,2018-12-10 - 2018-12-17
87.92,"Contract Clock, 14"", Brown",FUR-FU-10001475,Consumer,William Brown,WB-21850,2018-12-10 - 2018-12-17
3.27,Heavy-Duty E-Z-D Binders,OFF-BI-10000014,Consumer,William Brown,WB-21850,2018-12-10 - 2018-12-17
19.94,Avery Hole Reinforcements,OFF-BI-10001097,Corporate,Ben Peterman,BP-11185,2018-12-10 - 2018-12-17
18.24,Col-Erase Pencils with Erasers,OFF-AR-10000799,Corporate,Ben Peterman,BP-11185,2018-12-10 - 2018-12-17
324.9,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,OFF-ST-10000060,Corporate,Ben Peterman,BP-11185,2018-12-10 - 2018-12-17
49.08,Logitech Desktop MK120 Mouse and keyboard Combo,TEC-AC-10004510,Corporate,Ben Peterman,BP-11185,2018-12-10 - 2018-12-17
65.57,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",OFF-BI-10001597,Corporate,Ben Peterman,BP-11185,2018-12-10 - 2018-12-17
14.76,"Eldon Expressions Wood Desk Accessories, Oak",FUR-FU-10002364,Corporate,Justin Ellison,JE-16165,2018-12-10 - 2018-12-17
